strike,volume,distance_pct,currency
86000.0,699.0,2.067059719792688,BTC
90000.0,285.5,6.81436482303886,BTC
94000.0,243.8,11.561669926285033,BTC
85000.0,235.6,0.880233443981145,BTC
84000.0,209.9,-0.3065928318303979,BTC
80000.0,187.0,-5.053897935076569,BTC
83000.0,142.5,-1.4934191076419407,BTC
88000.0,136.20000000000002,4.440712271415773,BTC
92000.0,113.1,9.188017374661946,BTC
82000.0,95.2,-2.680245383453484,BTC
2200.0,2197.0,14.462313283351458,ETH
1950.0,2166.0,1.4552322284251562,ETH
1900.0,2097.0,-1.1461839825601043,ETH
2000.0,1780.0,4.0566484394104165,ETH
1925.0,1261.0,0.1545241229325258,ETH
1000.0,1259.0,-47.9716757802948,ETH
1750.0,926.0,-8.950432615515885,ETH
1600.0,830.0,-16.754681248471666,ETH
1800.0,802.0,-6.349016404530625,ETH
2250.0,788.0,17.06372949433672,ETH
