expiration_date,put_call_ratio,currency
2025-03-17,1.8211047987428983,BTC
2025-03-18,0.2635212888377446,BTC
2025-03-19,0.0735112936344969,BTC
2025-03-21,0.8012233072218049,BTC
2025-03-28,0.4762247487201609,BTC
2025-04-04,0.7069754541672444,BTC
2025-04-25,0.5026750755911511,BTC
2025-05-30,0.6703165222435734,BTC
2025-06-27,0.4522782639122676,BTC
2025-09-26,0.5325702688547485,BTC
2025-12-26,0.6981713377062214,BTC
2025-03-17,0.7474836659014656,ETH
2025-03-18,0.572347266881029,ETH
2025-03-19,0.1666666666666666,ETH
2025-03-21,0.6142767175049971,ETH
2025-03-28,0.4003638512927295,ETH
2025-04-04,4.541465183752417,ETH
2025-04-25,0.4782584412602471,ETH
2025-05-30,1.138266949485427,ETH
2025-06-27,0.4922423080933207,ETH
2025-09-26,0.9531200933112018,ETH
2025-12-26,0.1700256205225281,ETH
